car_park_no,address,car_park_type,type_of_parking_system,night_parking,Latitude,Longitude,,,,,
A74,BLK 646/649 ANG MO KIO STREET 61,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.378651738,103.8438034,,,,,
A75,BLK 177/182 ANG MO KIO AVENUE 4,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.376202226,103.8386841,,,,,
A76,BLK 613A ANG MO KIO AVENUE 4,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.377977133,103.8388367,,,,,
A77,BLK 150/156 ANG MO KIO AVENUE 5,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.376353145,103.8399811,,,,,
A78,BLK 157/163 ANG MO KIO AVENUE 4,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.374694705,103.8383865,,,,,
A8,BLK 209/210 ANG MO KIO STREET 22,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.368756056,103.8433075,,,,,
A81,BLK 170/172 ANG MO KIO STREET 13,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.374355555,103.8364792,,,,,
A82,BLK 173/176 ANG MO KIO AVENUE 4,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.375674963,103.8363953,,,,,
A83,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,SURFACE CAR PARKS,COUPON PARKING,NIGHT PARKING,1.374307513,103.8606949,,,,,
A85,BLK 340 ANG MO KIO STREET 32,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.365107417,103.8497086,,,,,
A86,BLK 4001-4003/4026-4028/4033-4035 ANG MO KIO INDUSTRIAL PARK 1,SURFACE CAR PARKS,COUPON PARKING,NIGHT PARKING,1.361884832,103.8565216,,,,,
A87,BLK 462/463 ANG MO KIO STREET 44,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.366826415,103.8578873,,,,,
A88,BLK 348 ANG MO KIO AVENUE 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.366280675,103.8472672,,,,,
A89,BLK 101/102 ANG MO KIO STREET 11,SURFACE CAR PARKS,COUPON PARKING,NO,1.370459199,103.8393707,,,,,
A9,BLK 202/203 ANG MO KIO STREET 22,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.368074417,103.8443909,,,,,
A90,BLK 625/627 ANG MO KIO STREET 61,SURFACE CAR PARKS,COUPON PARKING,NIGHT PARKING,1.382000685,103.8412476,,,,,
A94,BLK 104C ANG MO KIO STREET 11,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.371859789,103.8383179,,,,,
A95,BLK 323A ANG MO KIO AVENUE 3,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.367518663,103.8478012,,,,,
A98,BLK 259 ANG MO KIO AVENUE 2,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.369164348,103.8318558,,,,,
A99,BLK 181 ANG MO KIO AVENUE 5,SURFACE CAR PARKS,COUPON PARKING,NO,1.376985312,103.8372116,,,,,
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,BASEMENT CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.301063299,103.8541183,,,,,
ACM,BLK 98A ALJUNIED CRESCENT,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.321004272,103.8850632,,,,,
AH1,BLK 101 JALAN DUSUN,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.328283548,103.8446198,,,,,
AK19,BLOCK 253 ANG MO KIO STREET 21,SURFACE CAR PARKS,COUPON PARKING,NO,1.369091272,103.8349838,,,,,
AK31,BLK 302/348 ANG MO KIO STREET 31,SURFACE CAR PARKS,COUPON PARKING,NO,1.366120458,103.8466339,,,,,
AK52,BLK 513 ANG MO KIO STREET 53,SURFACE CAR PARKS,COUPON PARKING,NIGHT PARKING,1.372438669,103.850296,,,,,
AK6,BLK 728 ANG MO KIO AVENUE 6,SURFACE CAR PARKS,COUPON PARKING,NO,1.374835968,103.8448563,,,,,
AK83,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,SURFACE CAR PARKS,COUPON PARKING,NO,1.376678228,103.8638458,,,,,
AK9,ANG MO KIO AVENUE 9,SURFACE CAR PARKS,COUPON PARKING,NO,1.383599043,103.8483658,,,,,
AM14,BLK 227 ANG MO KIO STREET 23,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.368741035,103.8403015,,,,,
